Dataset,N,M (Tamanho Tabela),Função Hash,Load Factor,Rodada,Tempo Real (ms),Tempo CPU (ms),Memória Pico (KB),Iterações,Colisões Totais
dados_1000000.csv,1000000,500000,Divisão,2.0,5,0.0023,0.001,0.14,2,500000
dados_1000000.csv,1000000,500000,Multiplicação,2.0,1,0.0121,0.01,0.14,2,500000
dados_1000000.csv,1000000,500000,Multiplicação,2.0,2,0.0033,0.002,0.16,2,500000
dados_1000000.csv,1000000,500000,Multiplicação,2.0,3,0.0028,0.002,0.16,2,500000
dados_1000000.csv,1000000,500000,Multiplicação,2.0,4,0.0026,0.003,0.16,2,500000
dados_1000000.csv,1000000,500000,Multiplicação,2.0,5,0.0028,0.003,0.16,2,500000
dados_1000000.csv,1000000,500000,Meio-Quadrado,2.0,1,0.4927,0.488,0.24,1081,999000
dados_1000000.csv,1000000,500000,Meio-Quadrado,2.0,2,0.2398,0.239,0.24,1081,999000
dados_1000000.csv,1000000,500000,Meio-Quadrado,2.0,3,0.2375,0.237,0.24,1081,999000
dados_1000000.csv,1000000,500000,Meio-Quadrado,2.0,4,0.2377,0.237,0.24,1081,999000
dados_1000000.csv,1000000,500000,Meio-Quadrado,2.0,5,0.2407,0.24,0.24,1081,999000
