estrutura,N,Tempo de Inserção (s),Tempo de Inserção — Desvio (s),Memória Alocada na Inserção (KB),RAM Consumida na Inserção (KB),CPU Médio na Inserção (%),CPU Pico na Inserção (%),Altura da Árvore,Altura da Árvore — Desvio,Tempo de Busca (s),Tempo de Busca — Desvio (s),Comparações por Busca,Comparações por Busca — Desvio,Memória na Busca (KB),RAM na Busca (KB),CPU Médio na Busca (%),CPU Pico na Busca (%)
BST (sem balanceamento),10000,0.07636844980000008,0.0028968288173489903,1488.1701171875,1091.2,49.85,99.7,32,0.0,0.0014215083999999933,7.783137532369081e-05,16.204,0.7001999714367317,9.812109375,12.8,0.0,0.0
AVL (com balanceamento),10000,0.258912475,0.04162530673225354,1485.5669921875,729.6,74.03566666666667,99.8,16,0.0,0.0010342335999999897,0.0001255010485963333,12.556000000000001,0.12441864811996659,5.914453125,6.4,0.0,0.0
BST (sem balanceamento),50000,0.4279530751999999,0.01665513724151599,7433.4388671875,5648.0,86.37214285714286,100.0,37,0.0,0.0014449583999997628,8.103504398843851e-05,18.968,0.4662831757633982,13.8755859375,9.6,0.0,0.0
AVL (com balanceamento),50000,1.3792471498000018,0.028340816711086816,7426.3169921875,3625.6,95.67887681159421,100.0,19,0.0,0.0013073254000019574,0.0001591058178453691,14.882,0.0957601169589932,6.4677734375,9.6,0.0,0.0
BST (sem balanceamento),100000,1.054232591600001,0.020657356259375283,14860.0794921875,11084.8,94.04176470588236,100.08,40,0.0,0.0015479501999976718,1.568078522798264e-05,21.036,0.3498285294254885,14.7982421875,6.4,0.0,0.0
AVL (com balanceamento),100000,3.098020791600004,0.07600643331068678,14851.2341796875,9008.0,98.01330196078432,100.08,20,0.0,0.0014670834000042987,0.00013450029518223856,15.942,0.06723094525588691,7.2802734375,3.2,0.0,0.0
